groupTitleContent,EventID,Category,Calendar,Service,Subject
Full Year Drop-Ins 2023/24,00212447,Drop-In and Try-It Programs,Fitness,Drop-In Muscle Conditioning,Kettlebell Group Fitness Drop-In (14+ Years) | Century Gardens 6:30-7:25pm
Full Year Drop-Ins 2023/24,00212443,Drop-In and Try-It Programs,Fitness,Drop-In Muscle Conditioning,"Abs, Back and Glutes Group Fitness Drop-In (14+ Years) | Century Gardens 6:30-7:25pm"
Full Year Drop-Ins 2023/24,00212436,Drop-In and Try-It Programs,Fitness,Drop-In Zumba®,Zumba® Group Fitness Drop-In (14+ Years) | Century Gardens 7:30-8:25pm
Full Year Drop-Ins 2023/24,00212429,Drop-In and Try-It Programs,Fitness,Drop-In Zumba®,Zumba® Gold Group Fitness Drop-In (14+ Years) | Century Gardens 10:00-10:55am
Full Year Drop-Ins 2023/24,00211676,Drop-In and Try-It Programs,Sports,Drop-In Badminton,Badminton Drop-In (18+ Years) | Century Gardens 8:30-10:00pm
Full Year Drop-Ins 2023/24,00211672,Drop-In and Try-It Programs,Sports,Drop-In Badminton,Badminton Family Drop-In ( 4+ Years) | Century Gardens 7:00 -8:30pm
Full Year Drop-Ins 2023/24,00211163,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 10:00-11:00pm
Full Year Drop-Ins 2023/24,00211162,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 8:00-9:00pm
Full Year Drop-Ins 2023/24,00211161,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 9:00-10:00pm
Full Year Drop-Ins 2023/24,00211159,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 7:00-8:00pm
Full Year Drop-Ins 2023/24,00211158,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 6:00-7:00pm
Full Year Drop-Ins 2023/24,00211157,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 5:00-6:00pm
Full Year Drop-Ins 2023/24,00211156,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY| Cassie Campbell 4:00-5:00pm
Full Year Drop-Ins 2023/24,00211155,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 3:00-4:00pm
Full Year Drop-Ins 2023/24,00211154,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 2:00-3:00pm
Full Year Drop-Ins 2023/24,00211153,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 1:00-2:00pm
Full Year Drop-Ins 2023/24,00211151,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 12:00-1:00pm
Full Year Drop-Ins 2023/24,00211150,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 11:00-12:00pm
Full Year Drop-Ins 2023/24,00211149,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 10:00-11:00am
Full Year Drop-Ins 2023/24,00211148,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 9:00-10:00am
Full Year Drop-Ins 2023/24,00211145,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY| Cassie Campbell 8:00-9:00am
Full Year Drop-Ins 2023/24,00211142,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 7:00-8:00am
Full Year Drop-Ins 2023/24,00211139,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 6:00-7:00am
Full Year Drop-Ins 2023/24,00211135,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Centre,Fitness Centre Drop-In (14+ Years) STAFF VIEW ONLY | Cassie Campbell 5:00-6:00am
Full Year Drop-Ins 2023/24,00211029,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 8:00-8:45pm
Full Year Drop-Ins 2023/24,00211021,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 9:00-9:45am
Full Year Drop-Ins 2023/24,00211020,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 4:30-5:15pm
Full Year Drop-Ins 2023/24,00211014,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 7:00-7:45am
Full Year Drop-Ins 2023/24,00211004,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 7:00-7:45pm
Full Year Drop-Ins 2023/24,00211002,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 5:00-5:45pm
Full Year Drop-Ins 2023/24,00210994,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 3:00-3:45pm
Full Year Drop-Ins 2023/24,00210992,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 12:00-12:45pm
Full Year Drop-Ins 2023/24,00210971,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 10:00-10:45am
Full Year Drop-Ins 2023/24,00210969,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 8:00-8:45am
Full Year Drop-Ins 2023/24,00210967,Drop-In and Try-It Programs,Fitness,Drop-In Fitness Consultation,Fitness Consultation STAFF VIEW ONLY | Cassie Campbell 6:00-6:45am
Full Year Drop-Ins 2023/24,00210200,Drop-In and Try-It Programs,Swimming,Drop-In Lane Swim,Lane Swim Drop-In ( 6+ Years) | Gore Meadows 9:00-10:00pm
