Facility Name,Fee Name,Deleted?
Terry Fox Stadium,BOED - Tournament (4-6HRS) [Jan. 2024],No
Terry Fox Stadium,BOED - Tournament (4-6HRS) [Jan. 2025],No
Terry Fox Stadium,BOED - Tournament (6-9HRS) [Jan. 2024],No
Terry Fox Stadium,BOED - Tournament (6-9HRS) [Jan. 2025],No
Terry Fox Stadium,BOED - Tournament (9+HRS) [Jan. 2024],No
Terry Fox Stadium,BOED - Tournament (9+HRS) [Jan. 2025],No
Terry Fox Stadium,Commercial - Tournament (4-6HRS) - 2023,Yes
Terry Fox Stadium,Commercial - Tournament (4-6HRS) [Jan. 2024],No
Terry Fox Stadium,Commercial - Tournament (4-6HRS) [Jan. 2025],No
Terry Fox Stadium,Commercial - Tournament (6-9HRS) - 2023,Yes
Terry Fox Stadium,Commercial - Tournament (6-9HRS) [Jan. 2024],No
Terry Fox Stadium,Commercial - Tournament (6-9HRS) [Jan. 2025],No
Terry Fox Stadium,Commercial - Tournament (9+HRS) - 2023,Yes
Terry Fox Stadium,Commercial - Tournament (9+HRS) [Jan. 2024],No
Terry Fox Stadium,Commercial - Tournament (9+HRS) [Jan. 2025],No
Terry Fox Stadium,Commercial (Full Day) - 2023,Yes
Terry Fox Stadium,Commercial (Full Day) [Jan. 2024],No
Terry Fox Stadium,Commercial (Full Day) [Jan. 2025],No
Terry Fox Stadium,No Charge - Rainout,No
Terry Fox Stadium,No Charge - Rental Administration,No
Terry Fox Stadium,Non-Resident - Tournament (4-6HRS) - 2023,Yes
Terry Fox Stadium,Non-Resident - Tournament (4-6HRS) [Jan. 2024],No
Terry Fox Stadium,Non-Resident - Tournament (4-6HRS) [Jan. 2025],No
Terry Fox Stadium,Non-Resident - Tournament (6-9HRS) - 2023,Yes
Terry Fox Stadium,Non-Resident - Tournament (6-9HRS) [Jan. 2024],No
Terry Fox Stadium,Non-Resident - Tournament (6-9HRS) [Jan. 2025],No
Terry Fox Stadium,Non-Resident - Tournament (9+HRS) - 2023,Yes
Terry Fox Stadium,Non-Resident - Tournament (9+HRS) [Jan. 2024],No
Terry Fox Stadium,Non-Resident - Tournament (9+HRS) [Jan. 2025],No
Terry Fox Stadium,Non-Resident (Full Day) - Jan. 2023,Yes
Terry Fox Stadium,Non-Resident (Full Day) [Jan. 2024],No
Terry Fox Stadium,Non-Resident (Full Day) [Jan. 2025],No
Terry Fox Stadium,Resident - Tournament (4-6HRS) - 2023,Yes
Terry Fox Stadium,Resident - Tournament (4-6HRS) [Jan. 2024],No
Terry Fox Stadium,Resident - Tournament (4-6HRS) [Jan. 2025],No
Terry Fox Stadium,Resident - Tournament (6-9HRS) - 2023,Yes
Terry Fox Stadium,Resident - Tournament (6-9HRS) [Jan. 2024],No
Terry Fox Stadium,Resident - Tournament (6-9HRS) [Jan. 2025],No
Terry Fox Stadium,Resident - Tournament (9+HRS) - 2023,Yes
Terry Fox Stadium,Resident - Tournament (9+HRS) [Jan. 2024],No
Terry Fox Stadium,Resident - Tournament (9+HRS) [Jan. 2025],No
Terry Fox Stadium,Resident (Full Day) - Jan. 2023,Yes
Terry Fox Stadium,Resident (Full Day) [Jan. 2024],No
Terry Fox Stadium,Resident (Full Day) [Jan. 2025],No
